time-ms,pwr-cmd,left-back-wheel-pwr-mes,left-back-wheel-pos,left-back-wheel-vel,left-back-wheel-posraw,left-back-wheel-velraw,left-front-wheel-pwr-mes,left-front-wheel-pos,left-front-wheel-vel,left-front-wheel-posraw,left-front-wheel-velraw,right-front-wheel-pwr-mes,right-front-wheel-pos,right-front-wheel-vel,right-front-wheel-posraw,right-front-wheel-velraw,right-back-wheel-pwr-mes,right-back-wheel-pos,right-back-wheel-vel,right-back-wheel-posraw,right-back-wheel-velraw
0.000,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
117.967,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
194.217,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
268.000,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
340.180,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
412.464,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
481.879,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
557.296,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
644.919,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
717.108,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
789.094,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
852.548,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
916.834,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
981.556,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
1054.975,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
1120.495,0.000,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0
